epoch,train_loss,val_loss,val_acc,val_macro_f1
1,0.391030,1.609709,0.576391,0.569496
2,0.196551,2.317689,0.547815,0.535817
3,0.153443,1.755960,0.586851,0.586368
4,0.130629,1.774187,0.594882,0.592735
5,0.120832,1.620935,0.628876,0.626414
6,0.108801,1.672917,0.610758,0.611926
7,0.106011,1.524087,0.629623,0.631040
8,0.091784,1.706355,0.630930,0.631352
9,0.090692,2.001503,0.583302,0.578105
10,0.084637,1.597231,0.636720,0.634397
11,0.088887,1.829224,0.608143,0.607089
12,0.079116,1.670007,0.611319,0.607441
13,0.077937,1.629371,0.634852,0.635098
14,0.071326,1.927849,0.596750,0.594504
15,0.074520,1.960434,0.600486,0.599103
16,0.069650,2.096820,0.582368,0.578885
17,0.069654,2.222790,0.608330,0.606629
18,0.068553,2.036048,0.595443,0.595337
19,0.068244,1.770566,0.633545,0.634837
20,0.063138,1.835264,0.613000,0.612208
21,0.066155,1.740207,0.632611,0.631342
22,0.064126,2.043280,0.575271,0.575119
23,0.064671,1.850199,0.625514,0.624744
24,0.059818,1.887932,0.624393,0.624490
25,0.055821,2.037497,0.581434,0.578439
26,0.057090,2.260305,0.560889,0.545081
27,0.060076,1.998095,0.609824,0.612235
28,0.058509,1.910586,0.622338,0.618696
29,0.058017,1.750209,0.636907,0.635743
30,0.054630,2.314260,0.584610,0.576994
31,0.052494,1.727568,0.638588,0.638591
32,0.058095,2.274188,0.583302,0.579569
33,0.055656,2.262610,0.618603,0.611488
34,0.054851,1.912485,0.631864,0.632376
35,0.052721,1.849428,0.653904,0.651530
36,0.054295,2.449885,0.579567,0.565861
37,0.052555,2.108637,0.582555,0.582773
38,0.049898,1.851085,0.619724,0.620070
39,0.055425,1.823899,0.625700,0.621410
40,0.053996,2.060034,0.607210,0.601392
41,0.035283,2.366859,0.576391,0.561815
42,0.028924,1.709740,0.643257,0.643628
43,0.026438,1.777490,0.644378,0.643695
44,0.025041,1.912881,0.633358,0.633044
45,0.022531,1.740854,0.644004,0.645174
46,0.022620,2.031522,0.619724,0.618200
47,0.021678,1.890951,0.646993,0.646343
48,0.021387,1.925856,0.637094,0.636871
49,0.020114,2.208137,0.607583,0.604125
50,0.020697,1.935442,0.660067,0.657631
51,0.020776,1.995436,0.627942,0.626928
52,0.019676,2.014976,0.628876,0.627926
53,0.019518,2.414222,0.602727,0.595605
54,0.020439,2.150623,0.644752,0.641148
55,0.018084,1.980190,0.660441,0.659602
56,0.018414,1.817241,0.666231,0.665956
57,0.019034,1.726588,0.651662,0.651557
58,0.018413,2.023483,0.637094,0.635600
59,0.017718,2.018021,0.631117,0.629825
60,0.015847,1.775303,0.656705,0.656354
61,0.018353,2.125821,0.622899,0.624679
62,0.016339,1.895784,0.644191,0.643455
63,0.018699,1.930157,0.643444,0.642900
64,0.017966,1.894208,0.651476,0.652426
65,0.016153,2.122807,0.623272,0.623426
66,0.016661,1.937225,0.656332,0.656929
67,0.016609,1.971352,0.641390,0.642036
68,0.015791,2.228673,0.616735,0.618189
69,0.015952,1.793977,0.664737,0.665234
70,0.015837,1.879330,0.652036,0.652051
71,0.015630,1.999929,0.651102,0.651256
72,0.015492,1.851892,0.664923,0.664516
73,0.015562,1.895885,0.648300,0.649555
74,0.014840,1.819686,0.668285,0.668601
75,0.014074,1.799850,0.683041,0.683237
76,0.015787,2.416921,0.611692,0.608014
77,0.015755,1.982602,0.672768,0.671093
78,0.014979,2.330596,0.630930,0.629854
79,0.014287,2.447769,0.607396,0.606476
80,0.016032,1.827550,0.660441,0.659566
81,0.013972,2.350323,0.615614,0.617198
82,0.014347,1.991474,0.642884,0.643835
83,0.013537,2.088429,0.642137,0.641374
84,0.013882,1.951091,0.658013,0.659308
85,0.014360,2.008016,0.650168,0.650718
86,0.013774,2.172502,0.623272,0.624512
87,0.013570,2.072612,0.619350,0.619441
88,0.013749,2.027489,0.658386,0.656556
89,0.013055,2.040845,0.641950,0.639677
90,0.013882,2.194681,0.632798,0.629897
91,0.012744,2.209469,0.625514,0.624349
92,0.013993,1.971529,0.661001,0.660494
93,0.013389,2.257541,0.637467,0.635845
94,0.013081,2.072958,0.640643,0.641276
95,0.013969,2.119751,0.637467,0.637360
96,0.013420,2.307400,0.622712,0.624312
97,0.012860,2.079910,0.642510,0.643821
98,0.014463,2.071885,0.637841,0.636712
99,0.012510,1.912394,0.658947,0.659546
100,0.014209,2.295120,0.607396,0.603912
1,0.989870,1.118444,0.523347,0.511891
2,0.758016,1.064212,0.565372,0.563950
3,0.622698,1.025198,0.623272,0.619358
4,0.517276,1.158811,0.599178,0.599808
5,0.438649,1.172732,0.608891,0.608602
6,0.388673,1.287196,0.603100,0.601824
7,0.345692,1.574320,0.556780,0.544811
8,0.304432,1.298635,0.594322,0.592815
9,0.277822,1.439700,0.583676,0.577794
10,0.257450,1.353646,0.571349,0.567922
11,0.234201,1.240736,0.602540,0.603323
12,0.220553,1.482408,0.592641,0.591273
13,0.208379,1.234110,0.632051,0.631247
14,0.198010,1.594741,0.589653,0.583465
15,0.181087,1.634968,0.586851,0.582964
16,0.173584,1.514789,0.612813,0.611380
17,0.167403,2.022253,0.565185,0.542297
18,0.161571,1.701903,0.569854,0.567780
19,0.146880,1.689647,0.607210,0.602875
20,0.145695,1.587991,0.593948,0.591874
21,0.136645,1.663318,0.614681,0.611787
22,0.135220,1.873408,0.603474,0.600075
23,0.127435,1.346500,0.655398,0.655454
24,0.125928,1.524921,0.646246,0.646514
25,0.121663,1.747804,0.620657,0.617823
26,0.118154,1.944820,0.611692,0.607650
27,0.110485,1.532564,0.642884,0.642033
28,0.108964,2.065013,0.587972,0.584935
29,0.104394,1.768382,0.595816,0.592830
30,0.106774,1.617782,0.631864,0.630520
31,0.100030,1.656087,0.637654,0.638047
32,0.096280,1.720048,0.610572,0.607722
33,0.096417,1.937991,0.582929,0.579523
34,0.095771,1.974315,0.596563,0.592175
35,0.089103,2.022772,0.590586,0.579595
36,0.090424,1.800510,0.621965,0.619686
37,0.087754,1.738566,0.635226,0.635516
38,0.088874,1.750010,0.607770,0.605280
39,0.085342,1.756341,0.624953,0.623801
40,0.083066,2.121427,0.604408,0.601824
41,0.059714,1.816928,0.620657,0.619917
42,0.051911,1.830847,0.612253,0.607911
43,0.048251,1.993740,0.615988,0.609609
44,0.047086,1.867010,0.622712,0.618630
45,0.044753,1.856647,0.632424,0.629773
46,0.042708,1.628257,0.648674,0.648915
47,0.042780,1.876430,0.630557,0.628753
48,0.042094,1.935419,0.608517,0.607822
49,0.040223,1.800679,0.639522,0.637595
50,0.039629,1.621494,0.648300,0.647719
51,0.038401,1.794604,0.630557,0.627999
52,0.039830,1.875814,0.622712,0.620679
53,0.037019,2.330045,0.589839,0.579443
54,0.037380,1.862905,0.617669,0.613892
55,0.035897,1.963120,0.614494,0.610144
56,0.036497,2.036457,0.607957,0.607671
57,0.034508,2.028628,0.621031,0.618827
58,0.034422,1.911295,0.634666,0.632810
59,0.034225,2.459067,0.580874,0.568361
60,0.033968,2.148247,0.591147,0.588526
61,0.036533,2.096166,0.598058,0.594471
62,0.036053,2.882134,0.554165,0.544526
63,0.033144,2.407552,0.605342,0.597322
64,0.032470,1.982154,0.624019,0.624043
65,0.032686,2.332579,0.596377,0.591798
66,0.031164,2.216836,0.614307,0.607328
67,0.033797,2.159750,0.603848,0.600487
68,0.032252,2.642286,0.605529,0.598827
69,0.030523,2.150842,0.600486,0.591470
70,0.032605,2.355159,0.617295,0.611314
71,0.031210,2.348700,0.616735,0.610017
72,0.031890,1.962567,0.636160,0.633585
73,0.028970,2.219575,0.619163,0.615242
74,0.032137,1.970296,0.626448,0.625894
75,0.032387,1.913029,0.634292,0.634553
76,0.028674,1.920188,0.630370,0.630612
77,0.030739,2.474408,0.585170,0.574001
78,0.030455,1.978036,0.623272,0.624156
79,0.028903,2.038351,0.638962,0.634760
80,0.029887,1.751556,0.654838,0.654015
81,0.029846,2.334719,0.632238,0.625926
82,0.028995,2.024262,0.633545,0.632808
83,0.030176,1.904717,0.636907,0.636137
84,0.028401,2.172088,0.596937,0.594357
